clube_id;escudos;nome;abreviacao;slug;apelido;nome_fantasia;id;url_editoria;file_source
1;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};OUT;OUT;;;Outros;1;;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
1349;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};IPA;IPA;;;Ipatinga;1349;https://ge.globo.com/mg/grande-minas-vales/futebol/times/ipatinga/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
1371;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};CUI;CUI;;;Cuiabá;1371;https://ge.globo.com/mt/futebol/times/cuiaba/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
1390;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};ICA;ICA;;;Icasa;1390;https://ge.globo.com/ce/futebol/times/icasa/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
2190;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};OES;OES;;;Oeste;2190;https://ge.globo.com/sp/tem-esporte/futebol/times/oeste/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
2193;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};DUQ;DUQ;;;Duque de Caxias;2193;https://ge.globo.com/futebol/times/duque-de-caxias/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
2197;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};AME;AME;;;Americana;2197;;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
2305;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/MIR/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/MIR/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/MIR/30x30.png'};MIR;MIR;mirassol;Mirassol;Mirassol;2305;https://ge.globo.com/sp/tem-esporte/futebol/times/mirassol/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
2554;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};PRU;PRU;;;Grêmio Prudente;2554;https://ge.globo.com/sp/presidente-prudente-regiao/futebol/times/gremio-prudente/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
2565;{'60x60': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_65x65.png', '45x45': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_45x45.png', '30x30': 'https://s.glbimg.com/es/sde/f/organizacoes/escudo_default_30x30.png'};LUV;LUV;;;Luverdense;2565;https://ge.globo.com/mt/futebol/times/luverdense/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
262;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLA/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLA/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/FLA/30x30.png'};FLA;FLA;flamengo;Mengão;Flamengo;262;https://ge.globo.com/futebol/times/flamengo/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
263;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BOT/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BOT/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BOT/30x30.png'};BOT;BOT;botafogo;Glorioso;Botafogo;263;https://ge.globo.com/futebol/times/botafogo/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
264;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/COR/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/COR/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/COR/30x30.png'};COR;COR;corinthians;Timão;Corinthians;264;https://ge.globo.com/futebol/times/corinthians/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
265;{'60x60': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BAH/60x60.png', '45x45': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BAH/45x45.png', '30x30': 'https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/escudos/BAH/30x30.png'};BAH;BAH;bahia;Tricolor de Aço;Bahia;265;https://ge.globo.com/ba/futebol/times/bahia/;datalake\01-landing\season-2025\clubes\2025_04_05_clubes.json
