aproveitamento_visitante;aproveitamento_mandante;local;status_transmissao_tr;status_cronometro_tr;periodo_tr;partida_data;inicio_cronometro_tr;placar_oficial_visitante;placar_oficial_mandante;partida_id;clube_visitante_posicao;clube_visitante_id;clube_casa_posicao;clube_casa_id;timestamp;campeonato_id;valida;transmissao.label;transmissao.url;rodada;file_source
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334186;0;356;0;266;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334188;0;275;0;263;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334189;0;265;0;264;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334190;0;267;0;277;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334191;0;283;0;2305;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334192;0;284;0;282;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334193;0;262;0;285;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334194;0;286;0;287;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334195;0;280;0;354;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['', '', '', '', ''];['', '', '', '', '']; ;;;;2025-08-17 20:30:00;;;;334196;0;276;0;292;1755473400;26;True;;;20;datalake/01-landing/season-2025/partidas/partidas_rodada_20.json
['e', 'e', 'd', 'd', 'v'];['v', 'e', 'v', 'v', 'v'];Maracanã;;;;2025-03-29 21:00:00;;1;1;333867;13;285;1;262;1743292800;26;True;saiba como foi;https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/29-03-2025/flamengo-internacional.ghtml?utm_source=cartolafc;01;datalake/01-landing/season-2025/partidas/partidas_rodada_01.json
['e', 'd', 'v', 'd', 'v'];['v', 'd', 'd', 'v', 'd'];São Januário;;;;2025-03-30 18:30:00;;1;2;333868;16;277;14;267;1743370200;26;True;saiba como foi;https://ge.globo.com/rj/futebol/brasileirao-serie-a/jogo/30-03-2025/vasco-santos.ghtml?utm_source=cartolafc;01;datalake/01-landing/season-2025/partidas/partidas_rodada_01.json
['v', 'e', 'v', 'v', 'v'];['v', 'v', 'v', 'd', 'd'];Allianz Parque;;;;2025-03-30 16:00:00;;0;0;333869;6;263;5;275;1743361200;26;True;saiba como foi;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/30-03-2025/palmeiras-botafogo.ghtml?utm_source=cartolafc;01;datalake/01-landing/season-2025/partidas/partidas_rodada_01.json
['d', 'd', 'e', 'd', 'e'];['v', 'd', 'd', 'd', 'd'];Morumbis;;;;2025-03-29 18:30:00;;0;0;333870;20;292;15;276;1743283800;26;True;saiba como foi;https://ge.globo.com/sp/futebol/brasileirao-serie-a/jogo/29-03-2025/sao-paulo-sport.ghtml?utm_source=cartolafc;01;datalake/01-landing/season-2025/partidas/partidas_rodada_01.json
