apelido;foto;pontuacao;posicao_id;clube_id;entrou_em_campo;rodada_id;file_source;scout_DS;scout_FC;scout_FS;scout_FD;scout_FF;scout_I;scout_G;scout_CA;scout_SG;scout_DE;scout_GS;scout_A;scout_PC;scout_FT;scout_PP;scout_CV;scout_V;scout_PS;scout_DP;scout_GC
Igor Gomes;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png;1.7;4;282;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Yuri Alberto;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png;5.6;5;264;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;0.0;0.0;1.0;1.0;5.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Vitinho;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png;1.5;2;263;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ronald Lopes;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png;1.7;4;287;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Nonato;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png;0.5;4;266;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Diego;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png;6.2;2;354;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;3.0;1.0;4.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ferreira;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png;12.4;5;276;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;2.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ademir;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png;3.7;5;265;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;2.0;6.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Hugo Moura;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png;7.9;4;267;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;5.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Ramon;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png;2;2;285;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Claudinho;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png;-1.3;2;287;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Willian Machado;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png;1.5;3;354;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Vitinho;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png;1.2;5;285;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
Piquerez;https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png;2.8;2;275;True;5;datalake/01-landing/season-2025/pontuados/2025_07_08_19_27_pontuados_rodada_05.json.gz;1.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
